# bin	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
11m_0.fa	taxid assigned	based on 2933/4338 ORFs	1;131567;2;1224;28211;33807;1913988	1.00;0.83;0.79;0.35;0.32;0.31;0.31	Bacteria: 0.79	Proteobacteria: 0.35	Alphaproteobacteria: 0.32	NA	NA	NA	Alphaproteobacteria bacterium: 0.31
11m_1.fa	taxid assigned	based on 4351/4951 ORFs	1;131567;2	1.00;0.42;0.38	Bacteria: 0.38	no support	no support	no support	no support	no support	no support
11m_10.fa	taxid assigned	based on 229/404 ORFs	1;131567;2	1.00;0.84;0.77	Bacteria: 0.77	no support	no support	no support	no support	no support	no support
11m_100.fa	taxid assigned (1/2)	based on 512/715 ORFs	1;10239;2731341;2731360;2731618;2731619;28883*	1.00;0.34;0.34;0.34;0.34;0.34;0.34	Viruses: 0.34	Uroviricota: 0.34	Caudoviricetes: 0.34	Caudovirales*: 0.34	no support	no support	no support
11m_100.fa	taxid assigned (2/2)	based on 512/715 ORFs	1;131567;2	1.00;0.48;0.48	Bacteria: 0.48	no support	no support	no support	no support	no support	no support
11m_101.fa	taxid assigned	based on 19/26 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99	Viruses: 0.99	Uroviricota: 0.99	Caudoviricetes: 0.99	Caudovirales: 0.99	NA	NA	uncultured Caudovirales phage: 0.99
11m_102.fa	taxid assigned	based on 95/206 ORFs	1;131567;2;1783270;68336;976	1.00;0.93;0.90;0.61;0.57;0.46	Bacteria: 0.90	Bacteroidetes: 0.46	no support	no support	no support	no support	no support
11m_103.fa	taxid assigned	based on 4347/6282 ORFs	1;131567;2	1.00;0.69;0.60	Bacteria: 0.60	no support	no support	no support	no support	no support	no support
11m_104.fa	taxid assigned	based on 7854/7993 ORFs	1;131567;2;1783270;68336;976;1853228	1.00;1.00;1.00;0.98;0.98;0.98;0.90	Bacteria: 1.00	Bacteroidetes: 0.98	Chitinophagia: 0.90	no support	no support	no support	no support
11m_105.fa	taxid assigned	based on 9/27 ORFs	1;131567;2;1783270;68336;976	1.00;1.00;1.00;0.98;0.98;0.98	Bacteria: 1.00	Bacteroidetes: 0.98	no support	no support	no support	no support	no support
11m_106.fa	taxid assigned	based on 5420/21209 ORFs	1;131567;2759;33090;3041;2692248;3166;2812636	1.00;0.99;0.91;0.85;0.79;0.78;0.63;0.63	Eukaryota: 0.91	Chlorophyta: 0.79	Chlorophyceae: 0.63	no support	no support	no support	no support
11m_107.fa	no taxid assigned	no hits to database
11m_108.fa	taxid assigned	based on 2785/2863 ORFs	1;131567;2;1783270;68336;976	1.00;1.00;1.00;0.95;0.95;0.95	Bacteria: 1.00	Bacteroidetes: 0.95	no support	no support	no support	no support	no support
11m_109.fa	taxid assigned	based on 9/24 ORFs	1;131567;2759;3027;589342;589343;55528;55529*;905079*	1.00;1.00;0.92;0.92;0.92;0.92;0.92;0.92;0.92	Eukaryota: 0.92	NA	Cryptophyceae: 0.92	Pyrenomonadales: 0.92	Geminigeraceae: 0.92	Guillardia: 0.92	Guillardia theta*: 0.92
11m_11.fa	taxid assigned	based on 10153/24325 ORFs	1;131567;2759;33090;3041	1.00;0.99;0.87;0.73;0.40	Eukaryota: 0.87	Chlorophyta: 0.40	no support	no support	no support	no support	no support
11m_110.fa	taxid assigned (1/2)	based on 95/137 ORFs	1;131567;2;1783272;201174;84992;84993;2448023;2497618;2497619*	1.00;0.37;0.37;0.34;0.34;0.32;0.32;0.32;0.32;0.32	Bacteria: 0.37	Actinobacteria: 0.34	Acidimicrobiia: 0.32	Acidimicrobiales: 0.32	Ilumatobacteraceae: 0.32	NA	Ilumatobacteraceae bacterium*: 0.32
11m_110.fa	taxid assigned (2/2)	based on 95/137 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.59;0.59;0.59;0.59;0.59;0.59;0.59;0.59	Viruses: 0.59	Uroviricota: 0.59	Caudoviricetes: 0.59	Caudovirales: 0.59	NA	NA	uncultured Caudovirales phage: 0.59
11m_111.fa	taxid assigned	based on 4/9 ORFs	1;131567;2;1224;28216;33809;1891241	1.00;1.00;1.00;0.44;0.44;0.44;0.44	Bacteria: 1.00	Proteobacteria: 0.44	Betaproteobacteria: 0.44	NA	NA	NA	Betaproteobacteria bacterium: 0.44
11m_112.fa	taxid assigned	based on 16826/17011 ORFs	1;131567;2;1783272;201174;1760;52018;1883427	1.00;1.00;1.00;0.97;0.97;0.88;0.37;0.36	Bacteria: 1.00	Actinobacteria: 0.97	Actinomycetia: 0.88	NA	NA	NA	Actinobacteria bacterium: 0.36
11m_113.fa	taxid assigned (1/2)	based on 4/4 ORFs	1;131567;2;1224;28216;32003;32011;119067;2030816	1.00;0.59;0.59;0.35;0.35;0.35;0.35;0.35;0.35	Bacteria: 0.59	Proteobacteria: 0.35	Betaproteobacteria: 0.35	Nitrosomonadales: 0.35	Methylophilaceae: 0.35	NA	Methylophilaceae bacterium: 0.35
11m_113.fa	taxid assigned (2/2)	based on 4/4 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.41;0.41;0.41;0.41;0.41;0.41;0.41;0.41	Viruses: 0.41	Uroviricota: 0.41	Caudoviricetes: 0.41	Caudovirales: 0.41	NA	NA	uncultured Caudovirales phage: 0.41
11m_114.fa	taxid assigned	based on 464/850 ORFs	1;131567;2;203691;1130380;2202144	1.00;0.78;0.74;0.45;0.45;0.45	Bacteria: 0.74	Spirochaetes: 0.45	NA	NA	NA	NA	Spirochaetes bacterium: 0.45
11m_115.fa	taxid assigned	based on 1744/2621 ORFs	1;131567;2;1783270;68336;976	1.00;0.61;0.59;0.34;0.34;0.32	Bacteria: 0.59	Bacteroidetes: 0.32	no support	no support	no support	no support	no support
11m_116.fa	taxid assigned	based on 20/22 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99	Viruses: 0.99	Uroviricota: 0.99	Caudoviricetes: 0.99	Caudovirales: 0.99	NA	NA	uncultured Caudovirales phage: 0.99
11m_117.fa	taxid assigned	based on 11584/11716 ORFs	1;131567;2;1783272;201174;1760	1.00;1.00;1.00;0.98;0.92;0.62	Bacteria: 1.00	Actinobacteria: 0.92	Actinomycetia: 0.62	no support	no support	no support	no support
11m_118.fa	taxid assigned	based on 4808/8609 ORFs	1;131567;2	1.00;0.76;0.68	Bacteria: 0.68	no support	no support	no support	no support	no support	no support
11m_119.fa	taxid assigned	based on 1985/2165 ORFs	1;131567;2;1224;28216;80840;80864;52972	1.00;0.88;0.87;0.74;0.61;0.46;0.40;0.32	Bacteria: 0.87	Proteobacteria: 0.74	Betaproteobacteria: 0.61	Burkholderiales: 0.46	Comamonadaceae: 0.40	Polaromonas: 0.32	no support
11m_12.fa	taxid assigned	based on 295/381 ORFs	1;131567;2;1224	1.00;0.84;0.84;0.78	Bacteria: 0.84	Proteobacteria: 0.78	no support	no support	no support	no support	no support
11m_120.fa	taxid assigned	based on 2649/2882 ORFs	1;131567;2;1783270;68336;976	1.00;1.00;0.99;0.52;0.52;0.51	Bacteria: 0.99	Bacteroidetes: 0.51	no support	no support	no support	no support	no support
11m_121.fa	taxid assigned	based on 47/132 ORFs	1;131567;2	1.00;0.61;0.61	Bacteria: 0.61	no support	no support	no support	no support	no support	no support
11m_122.fa	taxid assigned	based on 7/13 ORFs	1;131567;2;1224;28211;204441;941843;2026786	1.00;1.00;1.00;0.77;0.51;0.51;0.51;0.51	Bacteria: 1.00	Proteobacteria: 0.77	Alphaproteobacteria: 0.51	Rhodospirillales: 0.51	NA	NA	Rhodospirillales bacterium: 0.51
11m_123.fa	taxid assigned	based on 396/643 ORFs	1;131567;2	1.00;0.97;0.95	Bacteria: 0.95	no support	no support	no support	no support	no support	no support
11m_124.fa	taxid assigned (1/2)	based on 11/19 ORFs	1;131567;2;1783272;201174;1760;2037;105426;1911520	1.00;1.00;1.00;0.70;0.62;0.62;0.38;0.38;0.38	Bacteria: 1.00	Actinobacteria: 0.62	Actinomycetia: 0.62	Actinomycetales: 0.38	NA	NA	Actinomycetales bacterium: 0.38
11m_124.fa	taxid assigned (2/2)	based on 11/19 ORFs	1;131567;2;1224;28216;33809;1891241	1.00;1.00;1.00;0.30;0.30;0.30;0.30	Bacteria: 1.00	Proteobacteria: 0.30	Betaproteobacteria: 0.30	NA	NA	NA	Betaproteobacteria bacterium: 0.30
11m_125.fa	taxid assigned	based on 3117/5234 ORFs	1;131567;2	1.00;0.70;0.66	Bacteria: 0.66	no support	no support	no support	no support	no support	no support
11m_126.fa	taxid assigned	based on 18/21 ORFs	1;131567;2;1783272;201174;1760;52018;1883427	1.00;0.98;0.98;0.94;0.94;0.94;0.94;0.94	Bacteria: 0.98	Actinobacteria: 0.94	Actinomycetia: 0.94	NA	NA	NA	Actinobacteria bacterium: 0.94
11m_127.fa	taxid assigned	based on 1350/1368 ORFs	1;131567;2;1783272;201174;1760	1.00;1.00;0.99;0.88;0.87;0.36	Bacteria: 0.99	Actinobacteria: 0.87	Actinomycetia: 0.36	no support	no support	no support	no support
11m_128.fa	taxid assigned	based on 3426/3506 ORFs	1;131567;2;1783270;68336;976;768503;768507;1751870;2053541	1.00;1.00;1.00;0.99;0.98;0.98;0.94;0.45;0.35;0.35	Bacteria: 1.00	Bacteroidetes: 0.98	Cytophagia: 0.94	Cytophagales: 0.45	NA	NA	Cytophagales bacterium: 0.35
11m_129.fa	taxid assigned	based on 1980/2038 ORFs	1;131567;2;1783272;201174;1760;52018;1883427	1.00;1.00;1.00;0.99;0.99;0.98;0.46;0.46	Bacteria: 1.00	Actinobacteria: 0.99	Actinomycetia: 0.98	NA	NA	NA	Actinobacteria bacterium: 0.46
11m_13.fa	no taxid assigned	no hits to database
11m_130.fa	taxid assigned (1/2)	based on 89/139 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.35;0.34;0.34;0.34;0.34;0.34;0.32;0.32	Viruses: 0.35	Uroviricota: 0.34	Caudoviricetes: 0.34	Caudovirales: 0.34	NA	NA	uncultured Caudovirales phage: 0.32
11m_130.fa	taxid assigned (2/2)	based on 89/139 ORFs	1;131567;2	1.00;0.53;0.53	Bacteria: 0.53	no support	no support	no support	no support	no support	no support
11m_131.fa	taxid assigned	based on 2143/5004 ORFs	1;131567;2759;33090;3041	1.00;0.99;0.85;0.69;0.39	Eukaryota: 0.85	Chlorophyta: 0.39	no support	no support	no support	no support	no support
11m_132.fa	taxid assigned (1/2)	based on 28/41 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.65;0.65;0.65;0.65;0.65;0.65;0.53;0.53	Viruses: 0.65	Uroviricota: 0.65	Caudoviricetes: 0.65	Caudovirales: 0.65	NA	NA	uncultured Caudovirales phage: 0.53
11m_132.fa	taxid assigned (2/2)	based on 28/41 ORFs	1;131567;2	1.00;0.34;0.34	Bacteria: 0.34	no support	no support	no support	no support	no support	no support
11m_133.fa	taxid assigned	based on 1164/1609 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.55;0.55;0.55;0.55;0.55;0.55;0.52;0.52	Viruses: 0.55	Uroviricota: 0.55	Caudoviricetes: 0.55	Caudovirales: 0.55	NA	NA	uncultured Caudovirales phage: 0.52
11m_134.fa	taxid assigned	based on 802/1395 ORFs	1;131567;2;1224	1.00;0.91;0.80;0.34	Bacteria: 0.80	Proteobacteria: 0.34	no support	no support	no support	no support	no support
