# bin	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
Bin_0-contigs.fa	taxid assigned	based on 5996/6111 ORFs	1;131567;2;1783272;201174;1760;52018;1883427	1.00;1.00;1.00;0.93;0.93;0.62;0.61;0.47	Bacteria: 1.00	Actinobacteria: 0.93	Actinomycetia: 0.62	NA	NA	NA	Actinobacteria bacterium: 0.47
Bin_1-contigs.fa	taxid assigned	based on 246/630 ORFs	1;131567;2759;3027;589350;2896;3030;233186	1.00;0.99;0.87;0.79;0.47;0.47;0.47;0.37	Eukaryota: 0.87	NA	Cryptophyceae: 0.79	Cryptomonadales: 0.47	Cryptomonadaceae: 0.47	Cryptomonas: 0.47	Cryptomonas curvata: 0.37
Bin_10-contigs.fa	taxid assigned (1/2)	based on 841/4901 ORFs	1;131567;2759	1.00;0.97;0.46	Eukaryota: 0.46	no support	no support	no support	no support	no support	no support
Bin_10-contigs.fa	taxid assigned (2/2)	based on 841/4901 ORFs	1;131567;2	1.00;0.97;0.42	Bacteria: 0.42	no support	no support	no support	no support	no support	no support
Bin_100-contigs.fa	taxid assigned	based on 3/3 ORFs	1;131567;2;1783272;201174;1760;52018;1883427	1.00;1.00;1.00;1.00;1.00;1.00;0.93;0.93	Bacteria: 1.00	Actinobacteria: 1.00	Actinomycetia: 1.00	NA	NA	NA	Actinobacteria bacterium: 0.93
Bin_101-contigs.fa	taxid assigned	based on 214/589 ORFs	1;131567;2	1.00;0.52;0.40	Bacteria: 0.40	no support	no support	no support	no support	no support	no support
Bin_102-contigs.fa	taxid assigned	based on 188/283 ORFs	1;131567;2759;2698737	1.00;0.95;0.62;0.37	Eukaryota: 0.62	no support	no support	no support	no support	no support	no support
Bin_103-contigs.fa	taxid assigned	based on 3034/3302 ORFs	1;131567;2;1783270;68336;976;117743;200644;403978;2021391	1.00;1.00;0.99;0.90;0.90;0.88;0.44;0.44;0.43;0.43	Bacteria: 0.99	Bacteroidetes: 0.88	Flavobacteriia: 0.44	Flavobacteriales: 0.44	NA	NA	Flavobacteriales bacterium: 0.43
Bin_104-contigs.fa	taxid assigned	based on 197/332 ORFs	1;131567;2	1.00;0.89;0.84	Bacteria: 0.84	no support	no support	no support	no support	no support	no support
Bin_105-contigs.fa	taxid assigned (1/2)	based on 1194/5212 ORFs	1;131567;2759	1.00;0.95;0.52	Eukaryota: 0.52	no support	no support	no support	no support	no support	no support
Bin_105-contigs.fa	taxid assigned (2/2)	based on 1194/5212 ORFs	1;131567;2	1.00;0.95;0.32	Bacteria: 0.32	no support	no support	no support	no support	no support	no support
Bin_106-contigs.fa	taxid assigned (1/2)	based on 845/1086 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.38;0.38;0.38;0.38;0.38;0.38;0.37;0.37	Viruses: 0.38	Uroviricota: 0.38	Caudoviricetes: 0.38	Caudovirales: 0.38	NA	NA	uncultured Caudovirales phage: 0.37
Bin_106-contigs.fa	taxid assigned (2/2)	based on 845/1086 ORFs	1;131567;2	1.00;0.36;0.35	Bacteria: 0.35	no support	no support	no support	no support	no support	no support
Bin_107-contigs.fa	taxid assigned	based on 4726/5921 ORFs	1;131567;2;1783270;68336;976	1.00;0.91;0.87;0.35;0.35;0.31	Bacteria: 0.87	Bacteroidetes: 0.31	no support	no support	no support	no support	no support
Bin_108-contigs.fa	taxid assigned	based on 3/9 ORFs	1;131567;2;1783272;201174;1760;52018;1883427	1.00;0.85;0.85;0.85;0.85;0.85;0.85;0.85	Bacteria: 0.85	Actinobacteria: 0.85	Actinomycetia: 0.85	NA	NA	NA	Actinobacteria bacterium: 0.85
Bin_109-contigs.fa	taxid assigned	based on 2824/2918 ORFs	1;131567;2;1224;2008785;119069;1798413;1970530	1.00;1.00;1.00;0.89;0.63;0.63;0.63;0.58	Bacteria: 1.00	Proteobacteria: 0.89	Hydrogenophilalia: 0.63	Hydrogenophilales: 0.63	NA	NA	Hydrogenophilales bacterium 28-61-23: 0.58
Bin_11-contigs.fa	taxid assigned	based on 687/845 ORFs	1;131567;2;1224;68525;28221;29;213495;2026763	1.00;1.00;0.99;0.76;0.67;0.67;0.47;0.46;0.46	Bacteria: 0.99	Proteobacteria: 0.76	Deltaproteobacteria: 0.67	Myxococcales: 0.47	NA	NA	Myxococcales bacterium: 0.46
Bin_110-contigs.fa	taxid assigned	based on 4106/5209 ORFs	1;131567;2;1783272;1239;526524;526525;128827;544447;2049044	1.00;0.80;0.78;0.68;0.66;0.63;0.63;0.63;0.62;0.62	Bacteria: 0.78	Firmicutes: 0.66	Erysipelotrichia: 0.63	Erysipelotrichales: 0.63	Erysipelotrichaceae: 0.63	NA	Erysipelotrichaceae bacterium: 0.62
