# bin	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
Bin_0-contigs.fa	taxid assigned	based on 1/1 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;10699;196894;1913040	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Viruses: 1.00	Uroviricota: 1.00	Caudoviricetes: 1.00	Caudovirales: 1.00	Siphoviridae: 1.00	NA	Methylophilaceae phage P19250A: 1.00
Bin_1-contigs.fa	taxid assigned	based on 6100/6208 ORFs	1;131567;2;1224;28216;80840	1.00;1.00;1.00;0.97;0.96;0.90	Bacteria: 1.00	Proteobacteria: 0.97	Betaproteobacteria: 0.96	Burkholderiales: 0.90	no support	no support	no support
Bin_10-contigs.fa	taxid assigned	based on 1514/1582 ORFs	1;131567;2;1783272;201174;1760;52018;1883427	1.00;1.00;1.00;0.96;0.96;0.96;0.73;0.73	Bacteria: 1.00	Actinobacteria: 0.96	Actinomycetia: 0.96	NA	NA	NA	Actinobacteria bacterium: 0.73
Bin_100-contigs.fa	taxid assigned	based on 14315/37853 ORFs	1;131567;2759;33090;3041;2692248;3166;2812636	1.00;0.99;0.95;0.90;0.83;0.81;0.65;0.65	Eukaryota: 0.95	Chlorophyta: 0.83	Chlorophyceae: 0.65	no support	no support	no support	no support
Bin_101-contigs.fa	no taxid assigned	no hits to database
Bin_102-contigs.fa	taxid assigned	based on 678/783 ORFs	1;131567;2;1783257;74201	1.00;1.00;0.99;0.72;0.66	Bacteria: 0.99	Verrucomicrobia: 0.66	no support	no support	no support	no support	no support
Bin_103-contigs.fa	taxid assigned	based on 2111/3238 ORFs	1;131567;2	1.00;0.70;0.51	Bacteria: 0.51	no support	no support	no support	no support	no support	no support
Bin_104-contigs.fa	taxid assigned	based on 574/833 ORFs	1;131567;2	1.00;0.66;0.62	Bacteria: 0.62	no support	no support	no support	no support	no support	no support
Bin_105-contigs.fa	taxid assigned	based on 62/85 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.64;0.64;0.64;0.64;0.64;0.64;0.49;0.49	Viruses: 0.64	Uroviricota: 0.64	Caudoviricetes: 0.64	Caudovirales: 0.64	NA	NA	uncultured Caudovirales phage: 0.49
Bin_106-contigs.fa	taxid assigned	based on 3/8 ORFs	1;131567;2;1224;28216;80840	1.00;1.00;1.00;0.52;0.52;0.52	Bacteria: 1.00	Proteobacteria: 0.52	Betaproteobacteria: 0.52	Burkholderiales: 0.52	no support	no support	no support
Bin_107-contigs.fa	taxid assigned (1/2)	based on 34731/39954 ORFs	1;131567;2;1783270;68336;976	1.00;0.98;0.97;0.49;0.49;0.48	Bacteria: 0.97	Bacteroidetes: 0.48	no support	no support	no support	no support	no support
Bin_107-contigs.fa	taxid assigned (2/2)	based on 34731/39954 ORFs	1;131567;2;1224	1.00;0.98;0.97;0.30	Bacteria: 0.97	Proteobacteria: 0.30	no support	no support	no support	no support	no support
Bin_108-contigs.fa	taxid assigned	based on 5115/7339 ORFs	1;131567;2	1.00;0.82;0.75	Bacteria: 0.75	no support	no support	no support	no support	no support	no support
Bin_109-contigs.fa	taxid assigned	based on 1379/1970 ORFs	1;131567;2	1.00;0.75;0.74	Bacteria: 0.74	no support	no support	no support	no support	no support	no support
Bin_11-contigs.fa	taxid assigned	based on 10895/11065 ORFs	1;131567;2;1783272;201174;1760	1.00;1.00;1.00;0.96;0.93;0.82	Bacteria: 1.00	Actinobacteria: 0.93	Actinomycetia: 0.82	no support	no support	no support	no support
Bin_110-contigs.fa	taxid assigned	based on 977/1323 ORFs	1;131567;2	1.00;0.89;0.81	Bacteria: 0.81	no support	no support	no support	no support	no support	no support
Bin_111-contigs.fa	taxid assigned	based on 3246/3621 ORFs	1;131567;2;1783270;68336;976;1853228	1.00;0.95;0.93;0.85;0.84;0.84;0.74	Bacteria: 0.93	Bacteroidetes: 0.84	Chitinophagia: 0.74	no support	no support	no support	no support
Bin_112-contigs.fa	taxid assigned	based on 5258/18224 ORFs	1;131567;2759;33090;3041;2692248;3166;2812636	1.00;1.00;0.94;0.88;0.83;0.81;0.65;0.65	Eukaryota: 0.94	Chlorophyta: 0.83	Chlorophyceae: 0.65	no support	no support	no support	no support
Bin_113-contigs.fa	taxid assigned	based on 1/5 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Viruses: 1.00	Uroviricota: 1.00	Caudoviricetes: 1.00	Caudovirales: 1.00	NA	NA	uncultured Caudovirales phage: 1.00
Bin_114-contigs.fa	taxid assigned	based on 996/1606 ORFs	1;131567;2	1.00;0.81;0.74	Bacteria: 0.74	no support	no support	no support	no support	no support	no support
Bin_115-contigs.fa	taxid assigned	based on 14721/19755 ORFs	1;131567;2;1783270;68336;976	1.00;0.91;0.86;0.51;0.51;0.51	Bacteria: 0.86	Bacteroidetes: 0.51	no support	no support	no support	no support	no support
Bin_116-contigs.fa	taxid assigned	based on 3456/12709 ORFs	1;131567;2759;33090;3041	1.00;0.98;0.82;0.64;0.39	Eukaryota: 0.82	Chlorophyta: 0.39	no support	no support	no support	no support	no support
Bin_117-contigs.fa	taxid assigned	based on 33/44 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.96;0.96;0.96;0.96;0.96;0.96;0.96;0.96	Viruses: 0.96	Uroviricota: 0.96	Caudoviricetes: 0.96	Caudovirales: 0.96	NA	NA	uncultured Caudovirales phage: 0.96
Bin_118-contigs.fa	taxid assigned (1/2)	based on 170/260 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.53;0.52;0.52;0.52;0.52;0.52;0.52;0.52	Viruses: 0.53	Uroviricota: 0.52	Caudoviricetes: 0.52	Caudovirales: 0.52	NA	NA	uncultured Caudovirales phage: 0.52
Bin_118-contigs.fa	taxid assigned (2/2)	based on 170/260 ORFs	1;131567;2	1.00;0.33;0.33	Bacteria: 0.33	no support	no support	no support	no support	no support	no support
Bin_119-contigs.fa	no taxid assigned	no hits to database
Bin_12-contigs.fa	taxid assigned	based on 1/3 ORFs	1;131567;2;1783270;68336;976;117743;200644;49546;237;196869;2718534	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Flavobacteriia: 1.00	Flavobacteriales: 1.00	Flavobacteriaceae: 1.00	Flavobacterium: 1.00	Flavobacterium sp. J49: 1.00
Bin_120-contigs.fa	taxid assigned	based on 2/2 ORFs	1;131567;2;1224	1.00;1.00;1.00;1.00	Bacteria: 1.00	Proteobacteria: 1.00	no support	no support	no support	no support	no support
Bin_121-contigs.fa	taxid assigned (1/2)	based on 8/17 ORFs	1;131567;2;1783270;68336;976;117743;200644;49546;61432;1871037	1.00;1.00;1.00;0.64;0.64;0.64;0.48;0.48;0.48;0.32;0.32	Bacteria: 1.00	Bacteroidetes: 0.64	Flavobacteriia: 0.48	Flavobacteriales: 0.48	Flavobacteriaceae: 0.48	NA	Flavobacteriaceae bacterium: 0.32
Bin_121-contigs.fa	taxid assigned (2/2)	based on 8/17 ORFs	1;131567;2;1224;28211;54526;1778488;2026776	1.00;1.00;1.00;0.36;0.31;0.31;0.31;0.31	Bacteria: 1.00	Proteobacteria: 0.36	Alphaproteobacteria: 0.31	Pelagibacterales: 0.31	NA	NA	Pelagibacterales bacterium: 0.31
