# bin	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
17m_Bin_0-contigs.fa	taxid assigned	based on 11223/12055 ORFs	1;131567;2;1783270;68336;976	1.00;1.00;0.97;0.79;0.79;0.68	Bacteria: 0.97	Bacteroidetes: 0.68	no support	no support	no support	no support	no support
17m_Bin_1-contigs.fa	taxid assigned	based on 247/428 ORFs	1;131567;2;1783272;201174;1760	1.00;0.85;0.78;0.47;0.46;0.41	Bacteria: 0.78	Actinobacteria: 0.46	Actinomycetia: 0.41	no support	no support	no support	no support
17m_Bin_10-contigs.fa	taxid assigned	based on 459/608 ORFs	1;131567;2;1783272;201174;1760	1.00;0.93;0.92;0.62;0.62;0.38	Bacteria: 0.92	Actinobacteria: 0.62	Actinomycetia: 0.38	no support	no support	no support	no support
17m_Bin_100-contigs.fa	taxid assigned	based on 3220/3430 ORFs	1;131567;2;1224;28216	1.00;1.00;0.99;0.92;0.58	Bacteria: 0.99	Proteobacteria: 0.92	Betaproteobacteria: 0.58	no support	no support	no support	no support
17m_Bin_101-contigs.fa	taxid assigned	based on 283/431 ORFs	1;131567;2;1224;1236;33811;1913989	1.00;0.77;0.77;0.52;0.46;0.41;0.41	Bacteria: 0.77	Proteobacteria: 0.52	Gammaproteobacteria: 0.46	NA	NA	NA	Gammaproteobacteria bacterium: 0.41
17m_Bin_102-contigs.fa	taxid assigned	based on 62/68 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34	Viruses: 0.34	Uroviricota: 0.34	Caudoviricetes: 0.34	Caudovirales: 0.34	NA	NA	uncultured Caudovirales phage: 0.34
17m_Bin_103-contigs.fa	taxid assigned	based on 1/1 ORFs	1;131567;2759;2698737;33634;2696291;2836;33849;33850;33851;33852;2857;303405	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Eukaryota: 1.00	Bacillariophyta: 1.00	Bacillariophyceae: 1.00	Bacillariales: 1.00	Bacillariaceae: 1.00	Nitzschia: 1.00	Nitzschia inconspicua: 1.00
17m_Bin_104-contigs.fa	taxid assigned	based on 145/155 ORFs	1;131567;2;1783257;203682;666505;666506;1500946;2052180*	1.00;0.97;0.97;0.90;0.89;0.53;0.32;0.32;0.32	Bacteria: 0.97	Planctomycetes: 0.89	Phycisphaerae: 0.53	Phycisphaerales: 0.32	NA	NA	Phycisphaerales bacterium*: 0.32
17m_Bin_105-contigs.fa	taxid assigned	based on 551/766 ORFs	1;131567;2;49928;1869227	1.00;0.69;0.61;0.34;0.34	Bacteria: 0.61	NA	NA	NA	NA	NA	bacterium: 0.34
17m_Bin_106-contigs.fa	taxid assigned	based on 62/117 ORFs	1;131567;2	1.00;0.86;0.78	Bacteria: 0.78	no support	no support	no support	no support	no support	no support
17m_Bin_107-contigs.fa	taxid assigned (1/2)	based on 2860/3849 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.32;0.32;0.32;0.32;0.32;0.32;0.30;0.30	Viruses: 0.32	Uroviricota: 0.32	Caudoviricetes: 0.32	Caudovirales: 0.32	NA	NA	uncultured Caudovirales phage: 0.30
17m_Bin_107-contigs.fa	taxid assigned (2/2)	based on 2860/3849 ORFs	1;131567;2	1.00;0.45;0.38	Bacteria: 0.38	no support	no support	no support	no support	no support	no support
17m_Bin_108-contigs.fa	taxid assigned	based on 3037/3117 ORFs	1;131567;2;57723;533205;574975;574976;1951928;2052165*	1.00;1.00;1.00;0.99;0.90;0.90;0.90;0.83;0.83	Bacteria: 1.00	Acidobacteria: 0.99	Holophagae: 0.90	Holophagales: 0.90	Holophagaceae: 0.90	NA	Holophagaceae bacterium*: 0.83
17m_Bin_109-contigs.fa	taxid assigned	based on 735/851 ORFs	1;131567;2;203691	1.00;1.00;0.97;0.52	Bacteria: 0.97	Spirochaetes: 0.52	no support	no support	no support	no support	no support
17m_Bin_11-contigs.fa	taxid assigned (1/2)	based on 4/6 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33	Viruses: 0.33	Uroviricota: 0.33	Caudoviricetes: 0.33	Caudovirales: 0.33	NA	NA	uncultured Caudovirales phage: 0.33
17m_Bin_11-contigs.fa	taxid assigned (2/2)	based on 4/6 ORFs	1;131567;2;1224	1.00;0.67;0.67;0.37	Bacteria: 0.67	Proteobacteria: 0.37	no support	no support	no support	no support	no support
17m_Bin_110-contigs.fa	taxid assigned	based on 22863/25205 ORFs	1;131567;2;1783270;68336;976;200643	1.00;1.00;0.99;0.63;0.63;0.60;0.32	Bacteria: 0.99	Bacteroidetes: 0.60	Bacteroidia: 0.32	no support	no support	no support	no support
17m_Bin_111-contigs.fa	no taxid assigned	no hits to database
17m_Bin_112-contigs.fa	taxid assigned (1/2)	based on 17/44 ORFs	1;10239;2731341;2731360;2731618;2731619;28883*	1.00;0.43;0.43;0.43;0.43;0.43;0.43	Viruses: 0.43	Uroviricota: 0.43	Caudoviricetes: 0.43	Caudovirales*: 0.43	no support	no support	no support
17m_Bin_112-contigs.fa	taxid assigned (2/2)	based on 17/44 ORFs	1;131567;2;1224;28216	1.00;0.57;0.57;0.36;0.31	Bacteria: 0.57	Proteobacteria: 0.36	Betaproteobacteria: 0.31	no support	no support	no support	no support
17m_Bin_113-contigs.fa	taxid assigned (1/2)	based on 162/265 ORFs	1;10239;12429;2763270	1.00;0.43;0.40;0.40	Viruses: 0.43	NA	NA	NA	NA	NA	Virus NIOZ-UU159: 0.40
17m_Bin_113-contigs.fa	taxid assigned (2/2)	based on 162/265 ORFs	1;131567;2;1224	1.00;0.49;0.46;0.33	Bacteria: 0.46	Proteobacteria: 0.33	no support	no support	no support	no support	no support
17m_Bin_114-contigs.fa	taxid assigned	based on 16578/17515 ORFs	1;131567;2;1783270;68336;976;200643	1.00;1.00;0.99;0.72;0.72;0.70;0.45	Bacteria: 0.99	Bacteroidetes: 0.70	Bacteroidia: 0.45	no support	no support	no support	no support
17m_Bin_115-contigs.fa	taxid assigned	based on 2829/3194 ORFs	1;131567;2;1783257	1.00;1.00;1.00;0.78	Bacteria: 1.00	no support	no support	no support	no support	no support	no support
17m_Bin_116-contigs.fa	taxid assigned	based on 12635/16392 ORFs	1;131567;2;1783270;68336;976	1.00;0.98;0.95;0.46;0.46;0.42	Bacteria: 0.95	Bacteroidetes: 0.42	no support	no support	no support	no support	no support
17m_Bin_117-contigs.fa	taxid assigned	based on 368/419 ORFs	1;131567;2;1224;68525;29547	1.00;0.99;0.97;0.65;0.54;0.54	Bacteria: 0.97	Proteobacteria: 0.65	Epsilonproteobacteria: 0.54	no support	no support	no support	no support
17m_Bin_118-contigs.fa	taxid assigned	based on 9232/10167 ORFs	1;131567;2;1783270;68336;976;200643	1.00;1.00;0.99;0.84;0.83;0.80;0.35	Bacteria: 0.99	Bacteroidetes: 0.80	Bacteroidia: 0.35	no support	no support	no support	no support
17m_Bin_119-contigs.fa	taxid assigned	based on 1684/1769 ORFs	1;131567;2;1224;28216;80840;80864	1.00;0.99;0.99;0.87;0.63;0.47;0.38	Bacteria: 0.99	Proteobacteria: 0.87	Betaproteobacteria: 0.63	Burkholderiales: 0.47	Comamonadaceae: 0.38	no support	no support
17m_Bin_12-contigs.fa	taxid assigned	based on 1443/1514 ORFs	1;131567;2;1783272;201174;1760;52018;1883427	1.00;0.98;0.98;0.92;0.87;0.82;0.42;0.41	Bacteria: 0.98	Actinobacteria: 0.87	Actinomycetia: 0.82	NA	NA	NA	Actinobacteria bacterium: 0.41
17m_Bin_120-contigs.fa	taxid assigned	based on 345/385 ORFs	1;131567;2;1224;1236	1.00;0.99;0.98;0.90;0.75	Bacteria: 0.98	Proteobacteria: 0.90	Gammaproteobacteria: 0.75	no support	no support	no support	no support
17m_Bin_121-contigs.fa	taxid assigned	based on 1371/2012 ORFs	1;131567;2	1.00;0.58;0.48	Bacteria: 0.48	no support	no support	no support	no support	no support	no support
17m_Bin_122-contigs.fa	taxid assigned	based on 194/214 ORFs	1;131567;2;1224;28211	1.00;0.91;0.91;0.64;0.40	Bacteria: 0.91	Proteobacteria: 0.64	Alphaproteobacteria: 0.40	no support	no support	no support	no support
